1.3 0:1.3 1:47.177 2:42.9 3:127749565 4:3655700
1.3 0:1.3 1:45.63 2:43.004 3:58896008 4:1734700
1.3 0:1.3 1:45.89 2:43.537 3:50963505 4:1469400
1.3 0:1.3 1:46.67 2:44.2 3:86059300 4:2462200
1.3 0:1.3 1:50.49100000000001 2:44.967 3:153412778 4:4148400
1.3 0:1.3 1:51.063 2:46.358 3:81638780 4:2169900
1.3 0:1.3 1:47.879 2:44.59 3:66473000 4:1895200
1.3 0:1.3 1:46.28 2:44.096 3:40593272 4:1162800
1.3 0:1.3 1:46.54 2:44.59 3:62820807 4:1795500
1.3 0:1.3 1:45.474 2:40.56 3:61692884 4:1869900
1.3 0:1.3 1:45.474 2:40.625 3:57142398 4:1756500
1.3 0:1.3 1:48.294 2:42.38 3:150375088 4:4233600
1.3 0:1.3 1:48.81399999999999 2:45.76 3:104080519 4:2837900
1.3 0:1.3 1:48.619 2:45.34399999999999 3:112339844 4:3076500
1.3 0:1.3 1:48.619 2:47.19 3:55977959 4:1516500
1.3 0:1.3 1:46.643 2:42.965 3:77177331 4:2236400
1.3 0:1.3 1:46.02 2:43.81 3:52087737 4:1496800
1.3 0:1.3 1:43.94 2:41.6 3:37651728 4:1140400
1.3 0:1.3 1:45.084 2:42.172 3:62510176 4:1833300
1.3 0:1.3 1:46.15 2:43.615 3:44211716 4:1267600
1.3 0:1.3 1:47.515 2:45.11 3:71179068 4:1969900
1.3 0:1.3 1:48.35899999999999 2:46.137 3:76414674 4:2089800
1.3 0:1.3 1:48.099 2:46.41 3:51534105 4:1415400
1.3 0:1.3 1:49.20399999999999 2:47.19 3:96300788 4:2575600
1.3 0:1.3 1:49.39899999999999 2:47.19 3:69078787 4:1873300
1.3 0:1.3 1:49.464 2:47.515 3:35315065 4:947000
1.3 0:1.3 1:49.659 2:47.606 3:41001213 4:1090500
1.3 0:1.3 1:48.723 2:46.644 3:35910446 4:986900
1.3 0:1.3 1:48.203 2:46.41 3:37982535 4:1039300
1.3 0:1.3 1:49.529 2:46.15 3:106684724 4:2859500
1.3 0:1.3 1:48.723 2:46.15 3:29252878 4:807800
1.3 0:1.3 1:48.099 2:45.76 3:32959553 4:913900
1.3 0:1.3 1:47.709 2:46.644 3:25169816 4:692900
1.3 0:1.3 1:48.06 2:46.15 3:13677305 4:382000
1.3 0:1.3 1:47.57899999999999 2:45.89 3:11903457 4:334400
1.3 0:1.3 1:46.864 2:43.68 3:37531645 4:1065800
1.3 0:1.3 1:46.838 2:44.2 3:21227007 4:611900
1.3 0:1.3 1:45.408 2:43.94 3:21966780 4:635900
1.3 0:1.3 1:45.356 2:43.94 3:16235499 4:477200
1.3 0:1.3 1:44.953 2:43.823 3:26970000 4:792900
1.3 0:1.3 1:44.32899999999999 2:43.654 3:17230599 4:508800
1.3 0:1.3 1:44.316 2:43.68 3:22501836 4:667500
1.3 0:1.3 1:44.81 2:43.562 3:22297742 4:654100
1.3 0:1.3 1:44.849 2:43.67899999999999 3:5658171 4:167300
1.3 0:1.3 1:44.368 2:43.419 3:7078980 4:209800
1.3 0:1.3 1:44.303 2:43.328 3:13403070 4:395300
1.3 0:1.3 1:44.264 2:43.28899999999999 3:26980628 4:798100
1.3 0:1.3 1:45.30399999999999 2:43.354 3:26736758 4:778500
1.3 0:1.3 1:45.369 2:43.809 3:6876647 4:202100
1.3 0:1.3 1:44.069 2:42.652 3:6336538 4:190400
1.3 0:1.3 1:42.89899999999999 2:40.312 3:11489763 4:358000
1.3 0:1.3 1:41.69 2:40.547 3:10048479 4:317700
1.3 0:1.3 1:41.846 2:40.962 3:9009225 4:282800
1.3 0:1.3 1:41.599 2:40.819 3:3801894 4:120500
1.3 0:1.3 1:42.028 2:41.05399999999999 3:5283631 4:165000
1.3 0:1.3 1:42.379 2:41.353 3:6550340 4:202700
1.3 0:1.3 1:41.989 2:41.145 3:4022694 4:125500
1.3 0:1.3 1:42.028 2:41.158 3:10911366 4:340900
1.3 0:1.3 1:43.419 2:41.287 3:19531161 4:597000
1.3 0:1.3 1:43.029 2:42.249 3:11548941 4:352300
1.3 0:1.3 1:44.069 2:42.249 3:39714802 4:1195900
1.3 0:1.3 1:43.653 2:42.691 3:12245389 4:369600
1.3 0:1.3 1:43.393 2:42.119 3:31235992 4:957300
1.3 0:1.3 1:43.198 2:41.34 3:51900786 4:1587000
1.3 0:1.3 1:42.769 2:40.95 3:31554765 4:987800
1.3 0:1.3 1:41.85899999999999 2:40.663 3:25829379 4:818300
1.3 0:1.3 1:41.599 2:40.04 3:22406044 4:721100
1.3 0:1.3 1:40.299 2:39 3:56950948 4:1878900
